aoi_id,aoi_name_en,aoi_name_es,feature_id,damage_gra,damage_percent,centroid_lat,centroid_lon,google_maps_url,approx_reference_source,approx_reference_tile_z,approx_reference_tile_x,approx_reference_tile_y,approx_reference_tile_url,evidence_mode,vlm_use,do_not_overclaim
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00016,Destroyed,100,10.47542832,-68.21234170833334,"https://www.google.com/maps/search/?api=1&query=10.47542832,-68.21234170833334",Esri World Imagery aerial reference,18,81401,123401,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123401/81401,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00059,Destroyed,100,10.497754544285714,-68.19367143571428,"https://www.google.com/maps/search/?api=1&query=10.497754544285714,-68.19367143571428",Esri World Imagery aerial reference,18,81414,123384,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123384/81414,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00002,Damaged,70,10.473201804999999,-68.21159007700001,"https://www.google.com/maps/search/?api=1&query=10.473201804999999,-68.21159007700001",Esri World Imagery aerial reference,18,81401,123402,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123402/81401,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00003,Damaged,70,10.4733741440625,-68.209492080625,"https://www.google.com/maps/search/?api=1&query=10.4733741440625,-68.209492080625",Esri World Imagery aerial reference,18,81403,123402,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123402/81403,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00005,Damaged,70,10.473703423063062,-68.20226592396396,"https://www.google.com/maps/search/?api=1&query=10.473703423063062,-68.20226592396396",Esri World Imagery aerial reference,18,81408,123402,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123402/81408,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00011,Damaged,70,10.474521034444443,-68.21126669777779,"https://www.google.com/maps/search/?api=1&query=10.474521034444443,-68.21126669777779",Esri World Imagery aerial reference,18,81402,123401,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123401/81402,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00012,Damaged,70,10.474278510789473,-68.20803736578948,"https://www.google.com/maps/search/?api=1&query=10.474278510789473,-68.20803736578948",Esri World Imagery aerial reference,18,81404,123402,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123402/81404,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00014,Damaged,70,10.47511327,-68.22555805142858,"https://www.google.com/maps/search/?api=1&query=10.47511327,-68.22555805142858",Esri World Imagery aerial reference,18,81391,123401,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123401/81391,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00021,Damaged,70,10.477332000357142,-68.20115120035715,"https://www.google.com/maps/search/?api=1&query=10.477332000357142,-68.20115120035715",Esri World Imagery aerial reference,18,81409,123399,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123399/81409,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00026,Damaged,70,10.486764392,-68.18985268200001,"https://www.google.com/maps/search/?api=1&query=10.486764392,-68.18985268200001",Esri World Imagery aerial reference,18,81417,123392,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123392/81417,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00029,Damaged,70,10.487695903235293,-68.19791536911764,"https://www.google.com/maps/search/?api=1&query=10.487695903235293,-68.19791536911764",Esri World Imagery aerial reference,18,81411,123392,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123392/81411,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00035,Damaged,70,10.480655935666666,-68.20225957733334,"https://www.google.com/maps/search/?api=1&query=10.480655935666666,-68.20225957733334",Esri World Imagery aerial reference,18,81408,123397,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123397/81408,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00036,Damaged,70,10.486678382,-68.21065619999999,"https://www.google.com/maps/search/?api=1&query=10.486678382,-68.21065619999999",Esri World Imagery aerial reference,18,81402,123392,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123392/81402,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
emsr884-aoi06-moron,AOI06 Moron - Official EMSR884 Vector,AOI06 Moron - Vector oficial EMSR884,ems_00039,Damaged,70,10.487622857297296,-68.20654155027027,"https://www.google.com/maps/search/?api=1&query=10.487622857297296,-68.20654155027027",Esri World Imagery aerial reference,18,81405,123392,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/123392/81405,approximate_aerial_reference_not_dated_before,triage_only_if_no_dated_before_baseline_exists,"Not official EMS before imagery, not guaranteed to be pre-event at each tile, licensing/terms must be reviewed before bulk downloading or redistributing tiles, and it must not be used for official damage counts."
